frame,sim_time,digest,rope0_x,rope0_y,ropeN_x,ropeN_y
0,0.016666667,1db48dcd73e1946c,0.000000000,3.000000000,3.952785177,-2.658295897
1,0.033333333,8297013a87b2eb32,0.000000000,3.000000000,3.952777502,-2.663734916
2,0.050000000,3d25fa8ef19b8a25,0.000000000,3.000000000,3.952724012,-2.671833383
3,0.066666667,a593d6c55a869cc7,0.000000000,3.000000000,3.952520717,-2.682442513
4,0.083333333,3c66e84fdcbd5e98,0.000000000,3.000000000,3.951978762,-2.695292094
5,0.100000000,3b0960f8a8da6562,0.000000000,3.000000000,3.950832147,-2.710001538
6,0.116666667,39f9751ff26ae6c6,0.000000000,3.000000000,3.948766245,-2.726120684
7,0.133333333,056f423387dc51c7,0.000000000,3.000000000,3.945453201,-2.743180444
8,0.150000000,37ea03c24d92ae10,0.000000000,3.000000000,3.940582594,-2.760736670
9,0.166666667,672b8bb7168b4310,0.000000000,3.000000000,3.933881688,-2.778399139
10,0.183333333,3f7e7bac460f702d,0.000000000,3.000000000,3.925124874,-2.795845054
11,0.200000000,22948f7fb48a5da4,0.000000000,3.000000000,3.914134963,-2.812820897
12,0.216666667,bdb80ac0d5d52b04,0.000000000,3.000000000,3.900779991,-2.829137853
13,0.233333333,0b5972fbc202eb75,0.000000000,3.000000000,3.884968787,-2.844665478
14,0.250000000,a4fbe271906d2dac,0.000000000,3.000000000,3.866647419,-2.859326609
15,0.266666667,da156ff2f14d0e28,0.000000000,3.000000000,3.845797325,-2.873094684
16,0.283333333,b1503b05b8780dcb,0.000000000,3.000000000,3.822434815,-2.885993044
17,0.300000000,77a672bbb8b0c165,0.000000000,3.000000000,3.796610977,-2.898094781
18,0.316666667,26773fc43ef26ecc,0.000000000,3.000000000,3.768410795,-2.909521489
19,0.333333333,3fe6528d5446ded4,0.000000000,3.000000000,3.737950569,-2.920439569
20,0.350000000,ed6ea19e0e9ef63e,0.000000000,3.000000000,3.705373215,-2.931053502
21,0.366666667,16e04622f08c87b9,0.000000000,3.000000000,3.670841567,-2.941596268
22,0.383333333,c485b418803ae9aa,0.000000000,3.000000000,3.634530250,-2.952317716
23,0.400000000,cff1362c736c1798,0.000000000,3.000000000,3.596616908,-2.963472018
24,0.416666667,39e185b18970c9ff,0.000000000,3.000000000,3.557273596,-2.975305345
25,0.433333333,6bffdea4bca33ae2,0.000000000,3.000000000,3.516658969,-2.988044698
26,0.450000000,d5dde518db053257,0.000000000,3.000000000,3.474911703,-3.001888493
27,0.466666667,c4f10a0ac09f3758,0.000000000,3.000000000,3.432145335,-3.016999176
28,0.483333333,0e2c6159ebc98fa0,0.000000000,3.000000000,3.388444551,-3.033497914
29,0.500000000,1d4f519da80abd54,0.000000000,3.000000000,3.343862842,-3.051461241
30,0.516666667,bbe76652944ac83e,0.000000000,3.000000000,3.298421449,-3.070919548
31,0.533333333,7cc3d379d16f27ec,0.000000000,3.000000000,3.252109502,-3.091857282
32,0.550000000,340a3ccc77b946ba,0.000000000,3.000000000,3.204885308,-3.114214791
33,0.566666667,397d682654ef68b5,0.000000000,3.000000000,3.156678734,-3.137891729
34,0.583333333,39b7e03066b8ed88,0.000000000,3.000000000,3.107394626,-3.162751952
35,0.600000000,7f3d74073c999966,0.000000000,3.000000000,3.056917136,-3.188629706
36,0.616666667,cfef552a5d2941c4,0.000000000,3.000000000,3.005114783,-3.215336870
37,0.633333333,fb787740e7d7cf9e,0.000000000,3.000000000,2.951845998,-3.242670891
38,0.650000000,a9814469769f9579,0.000000000,3.000000000,2.896964884,-3.270423021
39,0.666666667,99172a7bf1d1a77d,0.000000000,3.000000000,2.840326887,-3.298386434
40,0.683333333,8b8a3ae3b8f25975,0.000000000,3.000000000,2.781794115,-3.326363835
41,0.700000000,59629b56c67fc6ab,0.000000000,3.000000000,2.721240088,-3.354174255
42,0.716666667,203042ef90efe200,0.000000000,3.000000000,2.658553735,-3.381658767
43,0.733333333,b3b71eb5ed01a301,0.000000000,3.000000000,2.593642511,-3.408684945
44,0.750000000,8ea5a9e872839875,0.000000000,3.000000000,2.526434551,-3.435149935
45,0.766666667,f8cbce18b7cf629e,0.000000000,3.000000000,2.456879801,-3.460982058
46,0.783333333,6810bd1526fa7ec1,0.000000000,3.000000000,2.384950099,-3.486140918
47,0.800000000,0121df219742ac43,0.000000000,3.000000000,2.310638264,-3.510616049
48,0.816666667,f941ecd59ca533e8,0.000000000,3.000000000,2.233956237,-3.534424222
49,0.833333333,bab30b6fbaf8710a,0.000000000,3.000000000,2.154932450,-3.557605603
50,0.850000000,50e21a5df3c45fcc,0.000000000,3.000000000,2.073608572,-3.580219008
51,0.866666667,3cd74a02b722599b,0.000000000,3.000000000,1.990035864,-3.602336569
52,0.883333333,4f8fd2afbe17dc57,0.000000000,3.000000000,1.904271341,-3.624038087
